epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,777.191,1.39303,0.98854,1.3122,0.69673,0.625,0.6165,0.17632,2.37311,1.72794,2.27327,0.0006305,0.0006305,0.0006305
85,785.778,1.36271,0.98981,1.28113,0.58572,0.5,0.499,0.16402,2.38697,1.74161,2.33074,0.000614,0.000614,0.000614
86,794.4,1.36521,0.975,1.29841,0.7248,0.58333,0.64291,0.1862,2.51434,1.60324,2.48551,0.0005975,0.0005975,0.0005975
87,803.008,1.33179,0.93363,1.28729,0.87461,0.58137,0.69363,0.20491,2.49915,1.65584,2.43473,0.000581,0.000581,0.000581
88,811.685,1.38508,0.96617,1.31293,0.87193,0.56799,0.67006,0.16827,2.48875,1.62175,2.45473,0.0005645,0.0005645,0.0005645
89,820.39,1.37216,0.96886,1.30962,0.82517,0.5903,0.71102,0.18599,2.41166,1.66342,2.41999,0.000548,0.000548,0.000548
90,829.256,1.32604,0.96582,1.26224,0.83447,0.58333,0.69591,0.17644,2.48327,1.74937,2.51477,0.0005315,0.0005315,0.0005315
91,838.266,1.34624,0.96082,1.30209,0.71742,0.52941,0.57309,0.16555,2.511,1.73658,2.56469,0.000515,0.000515,0.000515
92,846.909,1.31132,0.97587,1.30004,0.52942,0.58333,0.56035,0.16177,2.5815,1.80842,2.62966,0.0004985,0.0004985,0.0004985
93,855.589,1.33266,0.9535,1.29849,0.81553,0.55312,0.62213,0.1932,2.55571,1.6255,2.61216,0.000482,0.000482,0.000482
94,864.271,1.33383,0.97344,1.29757,0.76276,0.53615,0.60209,0.19867,2.48006,1.63103,2.45459,0.0004655,0.0004655,0.0004655
95,873.535,1.31006,0.91454,1.25543,0.74863,0.54167,0.61611,0.17918,2.51964,1.76072,2.50521,0.000449,0.000449,0.000449
